Ppv,Pdg,Pch,Pdch,SOC,Pbuy,Psell,Eload,P_RE_served,Csell,Cbuy,Pserved,POA,Temperature,Wind Speed
0.0,0.0,0.0,0.0,0,0.0,0.0,1383.7532914634207,0.0,0.07054,0.1635,1383.7532914634207,0.0,-13.8,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1789.4595906112033,0.0,0.07054,0.1635,1789.4595906112033,0.0,-14.1,10
2.8804353699769353e-15,0.0,0.0,0.0,0,0.0,0.0,2401.598737179492,2.8804353699769353e-15,0.07054,0.1635,2401.598737179492,7.983144184088918,-14.3,10
1.888209047864329e-14,0.0,0.0,0.0,0,0.0,0.0,2271.929319714495,1.888209047864329e-14,0.07054,0.1635,2271.929319714495,52.333945206805126,-14.0,10
6.968072028943555e-14,0.0,0.0,0.0,0,0.0,0.0,1950.7255193410658,6.968072028943555e-14,0.07054,0.1635,1950.7255193410658,193.15111288393794,-13.4,10
1.7512484460099112e-13,0.0,0.0,0.0,0,0.0,0.0,1982.1857641622234,1.7512484460099112e-13,0.07054,0.1635,1982.1857641622234,485.55167071877145,-12.4,10
1.8341556805288092e-13,0.0,0.0,0.0,0,0.0,0.0,1960.1084373221029,1.8341556805288092e-13,0.07054,0.1635,1960.1084373221029,508.5590551524649,-11.6,10
1.6969391701779105e-13,0.0,0.0,0.0,0,0.0,0.0,1898.994018798775,1.6969391701779105e-13,0.07054,0.1635,1898.994018798775,470.5057683562673,-11.2,10
1.3206317070856518e-13,0.0,0.0,0.0,0,0.0,0.0,1835.4397820452468,1.3206317070856518e-13,0.07054,0.1635,1835.4397820452468,366.139796359242,-11.3,10
1.935177856594286e-13,0.0,0.0,0.0,0,0.0,0.0,1826.6235594332813,1.935177856594286e-13,0.07054,0.1635,1826.6235594332813,536.5754643658994,-11.9,10
1.0091203951533698e-13,0.0,0.0,0.0,0,0.0,0.0,1955.8668738917634,1.0091203951533698e-13,0.07054,0.1635,1955.8668738917634,279.7431425290619,-13.0,10
0.0,0.0,0.0,0.0,0,0.0,0.0,2452.2119876996076,0.0,0.07054,0.1635,2452.2119876996076,0.0,-13.6,10
0.0,0.0,0.0,0.0,0,0.0,0.0,3409.8839022417633,0.0,0.07054,0.1635,3409.8839022417633,0.0,-14.7,10
0.0,0.0,0.0,0.0,0,0.0,0.0,3954.171011681162,0.0,0.07054,0.1635,3954.171011681162,0.0,-15.1,10
0.0,0.0,0.0,0.0,0,0.0,0.0,3842.3027502751625,0.0,0.07054,0.1635,3842.3027502751625,0.0,-15.4,10
0.0,0.0,0.0,0.0,0,0.0,0.0,3575.7828900576983,0.0,0.07054,0.1635,3575.7828900576983,0.0,-15.6,10
0.0,0.0,0.0,0.0,0,0.0,0.0,3288.26069383381,0.0,0.07054,0.1635,3288.26069383381,0.0,-15.7,10
0.0,0.0,0.0,0.0,0,0.0,0.0,2706.1866832582396,0.0,0.07054,0.1635,2706.1866832582396,0.0,-15.8,10
0.0,0.0,0.0,0.0,0,0.0,0.0,2134.04714531681,0.0,0.07054,0.1635,2134.04714531681,0.0,-15.9,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1567.139806221883,0.0,0.07054,0.1635,1567.139806221883,0.0,-15.9,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1344.9952215459014,0.0,0.07054,0.1635,1344.9952215459014,0.0,-15.9,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1268.0760585118692,0.0,0.07054,0.1635,1268.0760585118692,0.0,-15.9,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1251.5618633101133,0.0,0.07054,0.1635,1251.5618633101133,0.0,-15.8,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1255.156701872696,0.0,0.07054,0.1635,1255.156701872696,0.0,-15.8,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1370.20883955073,0.0,0.07054,0.1635,1370.20883955073,0.0,-15.9,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1781.0024192636113,0.0,0.07054,0.1635,1781.0024192636113,0.0,-15.9,10
3.20060640417238e-15,0.0,0.0,0.0,0,0.0,0.0,2394.028379195714,3.20060640417238e-15,0.07054,0.1635,2394.028379195714,8.87016020454324,-15.6,10
2.907527988804961e-14,0.0,0.0,0.0,0,0.0,0.0,2268.6199917958716,2.907527988804961e-14,0.07054,0.1635,2268.6199917958716,80.58429088755038,-15.2,10
